The Rental Home Co,,,,,,,,,,,,,,,,,,,,,,
Profit and Loss,,,,,,,,,,,,,,,,,,,,,,
"January 1-June 30, 2026",,,,,,,,,,,,,,,,,,,,,,

,Ford Expedition Max White,Operating,Personal,Rental Home Co,4608 Woodsong Ln,Church Street Duplexes,Total for Rental Home Co,Second Mile,100 Crown Colony Ct,101 Century Hill Ct.,104 Penny Lane,115 Elm Street,120 Argus Circle,139 E Chateu,191 Konika Court,216 Stirlington Rd,300 Elders Pond Circle,359 Quiet Grove Drive,511 Plum Tree Ct,946 Brookfield Drive,Total for Second Mile,Total
770 Taxes Paid,,,,,"3,326.85",,"3,326.85",,"3,436.47","2,563.39","3,580.25","3,279.36","1,337.08",,"1,233.89","2,373.53","3,089.87","4,272.52","3,975.27","1,976.74","31,118.37","34,445.22"
780 Travel,,274.45,,,,,,,,,,,,,,,,,,,,274.45
785 Mileage,,"1,005.34",,,,,,,,,,,,,,,,,,,,"1,005.34"
Total for Expenses,136.40,"13,885.38",85.34,$0.00,"3,880.99","2,844.32","6,725.31",$0.00,"4,492.47","2,957.37","5,252.00","10,114.41","2,262.04",48.70,"3,001.29","2,373.53","3,273.20","4,622.52","4,086.70","1,976.74","44,460.97","$65,293.40"
Net Operating Income,-136.40,"-13,885.38",-85.34,$0.00,794.01,"12,485.68","13,279.69",$0.00,-662.47,"1,127.63",73.00,"-4,412.41","2,172.96","36,703.46","1,273.71","2,841.47","1,451.80","1,114.70",638.30,"2,823.26","45,145.41","$44,317.98"
Other Income,,,,,,,,,,,,,,,,,,,,,,
520 Interest Income,,810.66,,,,,,,,,,,,,,,,,,,,810.66
Total for Other Income,$0.00,810.66,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$810.66
Net Other Income,$0.00,810.66,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$810.66
Net Income,-136.40,"-13,074.72",-85.34,$0.00,794.01,"12,485.68","13,279.69",$0.00,-662.47,"1,127.63",73.00,"-4,412.41","2,172.96","36,703.46","1,273.71","2,841.47","1,451.80","1,114.70",638.30,"2,823.26","45,145.41","$45,128.64"



"Cash Basis Tuesday, June 30, 2026 11:14 PM GMTZ",,,,,,,,,,,,,,,,,,,,,,
